disease_1,disease_2,semantic_similarity
Colorectal cancer,Colorectal cancer,0
Colorectal cancer,West nile virus infection,0.07496322
Colorectal cancer,Lung cancer,0.304051121
Colorectal cancer,Cerebral cavernous malformations,0.008368201
Colorectal cancer,Thyroid cancer,0.304051121
Colorectal cancer,Esophageal cancer,0.475531084
Colorectal cancer,Alzheimer disease,0.032258637
Colorectal cancer,Rheumatoid arthritis,0.026217688
Colorectal cancer,Colorectal adenocarcinoma,0.842271159
Colorectal cancer,Gastric cancer,0.475531084
Colorectal cancer,Pancreatic adenocarcinoma,0.193613418
Colorectal cancer,Liver fibrosis,0.060606061
Colorectal cancer,Hepatocellular carcinoma,0.302808285
Colorectal cancer,Osteoarthritis,0.026217688
Colorectal cancer,Multiple myeloma,0.163074998
Colorectal cancer,Prostate cancer,0.23822486
Colorectal cancer,Osteosarcoma,0.193613418
Colorectal cancer,Colorectal carcinoma,1
Colorectal cancer,Muscle-invasive bladder cancer,0.304051121
Colorectal cancer,Parkinson disease,0.032258637
Colorectal cancer,Breast cancer,0.304051121
Colorectal cancer,Pancreatic cancer,0.304051121
Colorectal cancer,Colon cancer,0.842271159
Colorectal cancer,Laryngeal cancer,0.23822486
Colorectal cancer,Laryngeal squamous cell carcinoma,0.193613418
Colorectal cancer,Glioblastoma,0.144176356
Colorectal cancer,Glioma,0.243677156
Colorectal cancer,Pancreatic ductal adenocarcinoma,0.163074998
Colorectal cancer,Liver cancer,0.475531084
Colorectal cancer,Lung squamous cell carcinoma,0.163074998
Colorectal cancer,Non small cell lung cancer,0.193613418
Colorectal cancer,Non small cell lung carcinoma,0.193613418
Colorectal cancer,Ovarian carcinoma,0.142026452
Colorectal cancer,Cervical cancer,0.23822486
Colorectal cancer,Renal cell carcinoma,0.193613418
Colorectal cancer,Clear cell renal cell carcinoma,0.163074998
Colorectal cancer,Cholangiocarcinoma,0.222127095
Colorectal cancer,Neuroblastoma,0.193613418
Colorectal cancer,Acute myeloid leukemia,0.163074998
Colorectal cancer,Nasopharyngeal carcinoma,0.372579866
Colorectal cancer,Esophageal squamous cell cancer,0.191489362
Colorectal cancer,Esophageal squamous cell carcinoma,0.191489362
Colorectal cancer,Liver cirrhosis,0.060606061
Colorectal cancer,Early hepatocellular carcinoma,0.302808285
Colorectal cancer,Triple negative breast cancer,0.23822486
Colorectal cancer,Bladder cancer,0.304051121
Colorectal cancer,Atherosclerosis,0.026217688
Colorectal cancer,Ovarian cancer,0.23822486
Colorectal cancer,Papillary thyroid cancer,0.193613418
Colorectal cancer,Papillary thyroid carcinoma,0.193613418
Colorectal cancer,Gastric carcinoma,0.372579866
Colorectal cancer,Nasopharyngeal cancer,0.029411765
Colorectal cancer,Nk/T cell lymphoma,0.011627907
Colorectal cancer,Ischemia,0.054521373
Colorectal cancer,Esophagus adenocarcinoma,0.302808285
Colorectal cancer,Retinoblastoma,0.142026452
Colorectal cancer,Epithelial ovarian cancer,0.193613418
Colorectal cancer,Renal cell cancer,0.02739726
Colorectal cancer,Diffuse large B cell lymphoma,0.142026452
Colorectal cancer,Oral squamous cell carcinoma,0.372579866
Colorectal cancer,Lymphoma,0.23822486
Colorectal cancer,Hemangioma,0.132409048
Colorectal cancer,Myasthenia gravis,0.025084784
Colorectal cancer,Pneumonia,0.041172339
Colorectal cancer,Pediatric neuroblastoma,0.193613418
Colorectal cancer,Leukemia lymphoblastic acute,0.163074998
Colorectal cancer,Tongue squamous cell carcinoma,0.302808285
Colorectal cancer,Melanoma,0.243677156
Colorectal cancer,Nonalcoholic fatty liver disease,0.035502959
Colorectal cancer,Epithelial ovarian carcinoma,0.038135593
Colorectal cancer,Herpes simplex keratitis,0
