snoRNA,disease,label
SNORA57,Lung adenocarcinoma,1
SNORA24,Cancer,1
SNHG12,Non small cell lung cancer,1
SNORA14B,Hepatocellular carcinoma,1
SNORA59B,Diffuse large B cell lymphoma,1
SNORD73A,Lung cancer,1
SNORD66,Dysregulated immunity,1
SNORD113-2,Heart failure,1
SNHG4,Acute myeloid leukemia,1
SNORD6,Cerebral cavernous malformations,1
SNHG15,Gastric cancer,1
SNORD81,Gastric cancer,1
SNHG5,Bladder cancer,1
SNORA49,Diffuse large B cell lymphoma,1
SNHG16,Cervical cancer,1
SNORD27,Gastric cancer,1
SNORA17A,Hepatocellular carcinoma,1
RNU2-1,Pancreatic adenocarcinoma,1
SNORD76,Lung cancer,1
SNORD19B,Hepatocellular carcinoma,1
SNORA5B,Pancreatic ductal adenocarcinoma,1
SNHG1,Non small cell lung carcinoma,1
SNORD10,Lung cancer,1
SNORD49B,Gastric cancer,1
SNORD76,Gastric cancer,1
SNORD80,Gastric cancer,1
SNORA36A,Diffuse large B cell lymphoma,1
SNORA30,Pancreatic ductal adenocarcinoma,1
SNORD3D,Lung cancer,1
SNORA80A,Lung adenocarcinoma,1
SNORD102,Cerebral cavernous malformations,1
SNHG22,Epithelial ovarian carcinoma,1
SNHG16,Hepatocellular carcinoma,1
SNHG6,Muscle-invasive bladder cancer,1
SNORD119,Gastric cancer,1
SNHG12,Nasopharyngeal carcinoma,1
SNHG18,Hepatocellular carcinoma,1
SNORA23,Lung adenocarcinoma,1
SNORA60,Diffuse large B cell lymphoma,1
SNORD104,Rheumatoid arthritis,1
SNORD18C,Gastric cancer,1
SNORD60,Gastric cancer,1
SNORA70D,Diffuse large B cell lymphoma,1
SNORD76,Malignant glioma,1
SNORD89,Breast cancer,1
SNORD58B,Dysregulated immunity,1
SNORA8,Cancer,1
SNORD114-20,Gastric cancer,1
SCARNA10,Liver fibrosis,1
SNORA63,Cancer,1
SNHG15,Epithelial ovarian cancer,1
SNORD94,Prostate cancer,1
SNORD51,Gastric cancer,1
SNHG6,Colon and rectal adenocarcinoma,1
SNORD116-2,Gastric cancer,1
SNORD61,Gastric cancer,1
SNORA13,Diffuse large B cell lymphoma,1
SNORD25,Gastric cancer,1
SCARNA12,Gastric cancer,1
SNHG4,Lung cancer,1
SNORD62B,Gastric cancer,1
SNORD11,Dysregulated immunity,1
SNHG7,Glioblastoma,1
SNHG1,Pancreatic cancer,1
TERC,Mouth neoplasms,1
SCARNA9,West nile virus infection,1
SCARNA15,Hepatocellular carcinoma,1
SNORD36B,Gastric cancer,1
SNORD115-16,Cerebral cavernous malformations,1
SNORA81,West nile virus infection,1
SNORD7,West nile virus infection,1
SNORD22,Breast cancer,1
SNORA48,Diffuse large B cell lymphoma,1
SNORD24,Dysregulated immunity,1
SCARNA9,Cerebral cavernous malformations,1
SNORA71D,Lung adenocarcinoma,1
SNORD10,Gastric cancer,1
SNORD114-3,Lung cancer,1
SNORA27,Pancreatic ductal adenocarcinoma,1
SNHG15,Glioma,1
SNORA52,Diffuse large B cell lymphoma,1
SNHG3,Glioma,1
SNORA71C,Diffuse large B cell lymphoma,1
SNORD49A,Gastric cancer,1
SNORD64,Cerebral cavernous malformations,1
SNORD23,West nile virus infection,1
SNORA74A,Pancreatic ductal adenocarcinoma,1
SNHG7,Gastric cancer,1
SNORA70,Cancer,1
SNHG1,Parkinson disease,1
SNORA33,West nile virus infection,1
SNORD89,Prostate cancer,1
SNORA52,Pancreatic ductal adenocarcinoma,1
TERC,Pancreatic cancer,1
SNORD78,Prostate cancer,1
SNHG4,Thyroid cancer,1
SNORD27,Lung cancer,1
SCARNA8,Hepatocellular carcinoma,1
SNORD113-5,Hepatocellular carcinoma,1
SNORD19B,Lung cancer,1
SNHG9,Pancreatic cancer,1
SNORD12C,Gastric cancer,1
SNHG20,Ovarian cancer,1
SNORD114-2,Ovarian cancer,1
TERC,Melanoma,1
SNORD1A,Gastric cancer,1
SNORD13,Lung cancer,1
SNHG16,Leukemia lymphoblastic acute,1
SNORD63,Lung cancer,1
SNHG15,Colorectal cancer,1
SNORA18,Hepatocellular carcinoma,1
SNORA23,West nile virus infection,1
SNORD63,Gastric cancer,1
SNORD19B,Gastric cancer,1
SNORA44,Diffuse large B cell lymphoma,1
SNHG15,Osteosarcoma,1
SNORD111,Dysregulated immunity,1
SNHG7,Bladder cancer,1
SNORA14A,Pancreatic ductal adenocarcinoma,1
SNORD75,Hepatocellular carcinoma,1
SNHG17,Colorectal cancer,1
SNHG4,Prostate cancer,1
SNHG4,Herpes simplex keratitis,1
SNORD1B,Gastric cancer,1
SNORD116-24,Hepatocellular carcinoma,1
SNORA74A,Lung adenocarcinoma,1
SCARNA2,Gastric cancer,1
SNORD50A,B-cell lymphoma,1
SNORA16A,Gastric cancer,1
SNHG5,Hepatocellular carcinoma,1
SNORA31,Gastric cancer,1
SNORD19,Gastric cancer,1
SNHG16,Hemangioma,1
SNORD116-21,Cerebral cavernous malformations,1
SNORA23,Hepatocellular carcinoma,1
SNORD121A,Hepatocellular carcinoma,1
SNHG16,Gastric cancer,1
GAS5,Lung cancer,1
SNORD115-1,Lung cancer,1
SNHG20,Prostate cancer,1
SNORD4A,Oral squamous cell carcinoma,1
SNHG3,Breast cancer,1
SNORA17B,Cancer,1
SNORD94,Gastric cancer,1
SNHG1,Neuroblastoma,1
SNORD97,Breast cancer,1
SCARNA10,Esophageal cancer,1
SCARNA9,Colorectal cancer,1
SNORA61,Diffuse large B cell lymphoma,1
SNORD110,Cerebral cavernous malformations,1
SNORD88B,Lung cancer,1
SNORD42B,Gastric cancer,1
SNORD114-5,Gastric cancer,1
SNHG15,Esophageal cancer,1
SNORA67,Diffuse large B cell lymphoma,1
SNHG6,Osteosarcoma,1
SNORA48,Colorectal cancer,1
SNHG18,Thyroid cancer,1
TERC,Ovarian carcinoma,1
